# 02 triage tags (vanillahunt link 02, smr-bugfixpack-b6, 2026-09-10) — working copy of 01's INVENTORY.tsv; ⛔ 01's file is untouched, this file is the parent's; regenerate from the parent's scratch scripts, never hand-edit rows.
# treediff.py v1.2 (2026-09-10, indented orphans covered; NOROWS) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# 02 COLUMNS: rid = R + 1-based data-row index of INVENTORY.tsv (stable while 01's file is). system = the BINDING partition (02 brief §2.A); link = 03 | 04-A turf | 04-B colony | 04-C engine | 04-D removed/added+storage | 04-E presets — dlc-adjacent overrides every system (disjoint by construction). system_rule = the rule that fired (path / class prefix / basename / hand: <reason>). dlc_terms = the APPLIED match (T1 literal, T2~ narrowed); dlc_literal = every literal hit of all 25 brief terms, applied or not — ⛔ an untagged row with dlc_literal is 04's, and a seam 04 finds there is a note to 03.
# 02 DLC TAG (unit B), a stated DEVIATION from the brief's literal list: T1 = Food Meal Crop Farm Fungal Bakery Replicator Restaurant Insect Animal Hunger Starv Consumption FoodService norman thomas IsDlcAvailable AssemblyOfPlanets LawOffice ServiceBuilding, LITERAL substring, + the 51 class/global names declared in DLC/norman/Code + DLC/thomas/Code (word-bounded); T2 = Tech Resource Law Policy Cargo in their QUALIFIED sense only (registry/walk forms, word-bounded). Literal matching of all 25 would tag 2,918 rows (8,209 readable preset rows) and fence them off from 04 while 03 cannot hold them — over-tagging makes rows UNREAD, under-tagging leaves them with 04. Text matched: the 1.1.0 body (1.0.7 body for removed rows) + both signatures.
# 02 FAN-OUT (unit C): class/change/seam/guard/verdict/smell come from a judgement agent that read BOTH bodies (batch + round in triage_note, brief hash in TRIAGE.md §2). `*` classes (e.g. (f)*) are MECHANICAL by kind, not read. ⛔ A CHURN verdict is an agent's claim, UNREAD by anyone else; a SMELL is a PASSING candidate for the owning link to derive, not a finding; no row here is a defect.
# 02 FIELD-REPORT TAGS (README §2b, owner 2026-09-10), column `fr`, BY FUNCTION: FR-1(a) = entry functions on the New Game -> first sol path (OnMsg NewGame/NewMap*/CityStart/ChangeMapDone/MapGen*, RandomMapGenerator.*, MapGen.*, StartNewGame, InitNewGameMissionParams, City/Colony Init*, Create/Change/Switch/Init/SetupMap*, PreGameMission.lua Start/Launch/Begin/NewGame/Apply/Init functions) + ONE HOP of changed callees (text-level; a callee name declared by >3 changed rows is not followed); FR-1(b) = an FR-1 row branching on IsDlcAvailable/norman -> link 03; FR-1(c) = CommonLua/Classes/Lightmodel.lua + RenderFeaturesParams* rows + bodies naming upscaler/DLSS/XeSS/FSR/AA; FR-1(d) = a changed line assigning hr.*; FR-2 = deep-scan/probe/exploration/reveal/subsurface names or deep-scan body terms + one hop; FR-3 = an ADDED or CHANGED line creating/shortening periodic work (Create*Thread, *Repeat, Sleep, WaitMsg, WaitWakeup, DelayedCall) or a new high-frequency OnMsg handler. ⛔ An FR tag does not move a row out of its system (except FR-1(b)); it orders the reading. A tag is a surface, not a cause.
rid	file	function	kind	bucket	line107	line110	sig107	sig110	flags	system	link	system_rule	dlc	dlc_terms	dlc_literal	span107	span110	batch	class	change	seam	guard	verdict	smell	fr	triage_note
R00001	CommonLua/ArtTest.lua	ArtTest.GetObjectClassesToPreview	removed	hand	263		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				263-277			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00002	CommonLua/ArtTest.lua	ArtTest.InstallMaxExporter	removed	hand	94		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				94-177			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00003	CommonLua/ArtTest.lua	ArtTest.LoadExternalEntities	removed	hand	205		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				205-249			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00004	CommonLua/ArtTest.lua	ArtTest.OpenChangeProducerDialog	removed	hand	29		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				29-35			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00005	CommonLua/ArtTest.lua	ArtTest.PlacePreviewObjects	removed	hand	280		.classes		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				280-320			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00006	CommonLua/ArtTest.lua	ArtTest.SetProducer	removed	hand	37		.new_producer		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				37-61			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00007	CommonLua/ArtTest.lua	ArtTest.SetProducer_3DSMax	removed	hand	63		.new_producer		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				63-92			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00008	CommonLua/ArtTest.lua	ArtTest.SetUpMap	removed	hand	251		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				251-261			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00009	CommonLua/ArtTest.lua	ArtTest.Start	removed	hand	179		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				179-202			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00010	CommonLua/ArtTest.lua	OnMsg.ChangeMapDone	removed	hand	324		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				324-328			(e)*						FR-1(a)	not fanned out: class by kind (marked *), read by the owning link
R00011	CommonLua/ArtTest.lua	bat	removed	hand	1		.		GONEFILE	removed-added	04-D	whole-file row (FILES.tsv)				1-3			(e)*							not fanned out: class by kind (marked *), read by the owning link
R00012	CommonLua/Billboards.lua	CollectBillboardDeps	added	hand		219		.		commonlua	04-C	path CommonLua/**			Resource		219-264		(f)*						FR-3	not fanned out: class by kind (marked *), read by the owning link
R00013	CommonLua/Billboards.lua	GenerateBillboards	body+sig	hand	131	131	.specific_entity	.entities		commonlua	04-C	path CommonLua/**				131-227	131-217	B16	(b)	param `specific_entity` -> `entities` (table or string); atlas names no longer built in Lua, `BeginCaptureBillboardEntity(curr_dir, ent)`	none	-	WORTH-READING: engine call contract changed; caller table empty	none		fan-out B16 round r1
R00014	CommonLua/Braze.lua	BrazeSession.AsyncBrazeGetCards	body	hand	281	281	:retry_attempt	:retry_attempt		commonlua	04-C	path CommonLua/**				281-387	281-387	B16	(a)	`table.ifilter` predicate passed as `BrazeCardFilter` directly instead of a `(i, card)` wrapper	CommonLua table.ifilter predicate contract	-	CHURN: adapts to the index-less predicate contract, same filter	none		fan-out B16 round r1
R00015	CommonLua/Camera.lua	GetCursorPos	body	hand	785	785	.gamepad,terrain_pos	.gamepad,terrain_pos		commonlua	04-C	path CommonLua/**				785-824	785-824	B16	(a)	`cqfObjEnumFlags` and `cqfObjGameFlags` dropped from query flags; filter key `"ObjGameFlags"` -> `"GameFlags"`	engine collision API	-	WORTH-READING: collision query contract changed	none		fan-out B16 round r1
R00016	CommonLua/Camera.lua	SetCamera	body	hand	111	111	.ptCamera,ptCameraLookAt,camType,zoom,properties,fovX,time	.ptCamera,ptCameraLookAt,camType,zoom,properties,fovX,time		commonlua	04-C	path CommonLua/**				111-164	111-164	B16	(a)	`SetCameraFov` only called when `fovX > 0`	none	-	WORTH-READING: zero or negative fov now ignored	none		fan-out B16 round r1
R00017	CommonLua/Camera.lua	SetCameraFov	body	hand	166	166	.fovX	.fovX		commonlua	04-C	path CommonLua/**				166-168	166-168	B16	(a)	non-positive `fovX` now falls back to `70*60`	none	-	WORTH-READING: fov default widened	none		fan-out B16 round r1
R00018	CommonLua/CanonizeFilename.lua	CanonizeSaveGameName	body	hand	74	74	.name	.name		commonlua	04-C	path CommonLua/**				74-88	74-88	B16	(a)	returns `name:trim_spaces()`	none	-	WORTH-READING: canonized save names now trimmed	none		fan-out B16 round r1
R00019	CommonLua/Classes/Achievement.lua	CanModifyAchievementProgress	body	hand	83	83	.achievement	.achievement		commonlua	04-C	path CommonLua/**				83-99	83-101	B16	(a)	engine-refusal message via `print` only for reasons other than "already unlocked" and "in tutorial" (was always `ach_print`)	none	-	CHURN: log string only	none		fan-out B16 round r1
R00020	CommonLua/Classes/ActionFX.lua	ActionFX.GetLoc	body	hand	1277	1352	:actor,target,action_pos,action_dir	:actor,target,action_pos,action_dir		commonlua	04-C	path CommonLua/**				1277-1322	1352-1398	B16	(a)	ActionPos source uses `GetActionPos(action_pos)`; loc obj via `GetLocObj(actor, target, action_pos)`; single-spot fallback `origin_spot` instead of -1	FX × ActionObj source	-	WORTH-READING: new source kind flows through	none		fan-out B16 round r1
