# treediff.py v1.2 (2026-09-10, indented orphans covered; NOROWS) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# NOROWS (v1.2): every changed / added / removed .lua file (DLC/ excluded) for which INVENTORY.tsv has NO row. Added 2026-09-10 after link 02 found NVIDIA DLSS 2 -> 4 in a top-level DATA TABLE of `CommonLua/Core/options.lua` — a change neither instrument lists.
# ⛔ READ THIS AS A HOLE, NOT AS NOISE: 123 files are `reader=NONE` + `content=yes` — changed hand code that no instrument lists and that link 02, which partitions ROWS, cannot hand to any reader. Whoever owns their system diffs them AS TEXT. 1 more are `ws-only` (no row because nothing changed after normalisation) and 1413 are `generated` with content, which presetdiff reads at field level.
# WHY A HAND FILE CAN HAVE NO ROW: its change is in top-level data / config / const tables, in preset data stored outside the four `generated` prefixes (`CommonLua/Data/`, `CommonLua/Libs/*/Data/`), inside an anonymous `function(` literal, or in a declaration form the regex does not recognise. `lines_changed` (normalised +/- lines, hand files only) sizes the reading; it is not a verdict.
path	status	bucket	reader	content	lines_changed
CommonLua/Classes/GameEffect.lua	changed	hand	NONE	yes	2
CommonLua/Classes/ObjContainer.lua	changed	hand	NONE	yes	2
CommonLua/Classes/Particles/ParticleBehavior.lua	changed	hand	NONE	yes	1
CommonLua/Classes/SceneParams.lua	changed	hand	NONE	ws-only	0
CommonLua/Connectivity.lua	changed	hand	NONE	yes	2
CommonLua/Core/ProceduralMeshShaders.lua	changed	hand	NONE	yes	2
CommonLua/Core/config.lua	changed	hand	NONE	yes	6
CommonLua/Core/const.lua	changed	hand	NONE	yes	3
CommonLua/Core/error.lua	changed	hand	NONE	yes	4
CommonLua/Core/terminal.lua	changed	hand	NONE	yes	8
CommonLua/Data/LightmodelFeaturePreset.lua	added	hand	NONE	yes	37
CommonLua/Data/MsgDef.lua	changed	hand	NONE	yes	50
CommonLua/Data/PersistedRenderVars.lua	changed	hand	NONE	yes	11
CommonLua/Data/PropertyCategory.lua	changed	hand	NONE	yes	16
CommonLua/Data/TerrainObj.lua	changed	hand	NONE	yes	1
CommonLua/Data/XDef/AmountControl.lua	changed	hand	NONE	yes	13
CommonLua/Data/XDef/BugReport.lua	changed	hand	NONE	yes	17
CommonLua/Data/XDef/CommonMessageDialog.lua	changed	hand	NONE	yes	9
CommonLua/Data/XDef/CommonShortcuts.lua	changed	hand	NONE	yes	20
CommonLua/Data/XDef/EULADialog.lua	changed	hand	NONE	yes	2
CommonLua/Data/XDef/EditorShortcuts.lua	changed	hand	NONE	yes	2
CommonLua/Data/XDef/GedArtSpecEditor.lua	changed	hand	NONE	yes	13
CommonLua/Data/XDef/GedAutoAttachEditor.lua	changed	hand	NONE	yes	4
CommonLua/Data/XDef/GedCharacterBrowser.lua	changed	hand	NONE	yes	2
CommonLua/Data/XDef/GedPopupList.lua	changed	hand	NONE	yes	3
CommonLua/Data/XDef/GedPropRollover.lua	changed	hand	NONE	yes	2
CommonLua/Data/XDef/GedPropertyButton.lua	changed	hand	NONE	yes	1
CommonLua/Data/XDef/GedScriptEditor.lua	changed	hand	NONE	yes	8
CommonLua/Data/XDef/GedShortcuts.lua	changed	hand	NONE	yes	15
CommonLua/Data/XDef/GedStatusBar.lua	changed	hand	NONE	yes	57
CommonLua/Data/XDef/ModEditor.lua	changed	hand	NONE	yes	14
CommonLua/Data/XDef/PresetEditor.lua	changed	hand	NONE	yes	1
CommonLua/Data/XDef/PrgEditor.lua	changed	hand	NONE	yes	2
CommonLua/Data/XDef/PropChoice.lua	changed	hand	NONE	yes	2
CommonLua/Data/XDef/SelectionEditorDlgUI.lua	changed	hand	NONE	yes	27
CommonLua/Data/XDef/StdItemChoiceDialogBase.lua	changed	hand	NONE	yes	1
CommonLua/Data/__SceneParamDef.lua	changed	hand	NONE	yes	29
CommonLua/Data/__const.lua	changed	hand	NONE	yes	17
CommonLua/Editor/XEditor/XAreaCopyTool.lua	changed	hand	NONE	yes	4
CommonLua/Editor/XEditor/XClutterDensityBrush.lua	changed	hand	NONE	yes	2
CommonLua/Editor/XEditor/XEnrichTerrainTool.lua	changed	hand	NONE	yes	1
CommonLua/Editor/XEditor/XPlaceMultipleObjectsToolBase.lua	changed	hand	NONE	yes	4
CommonLua/Ged/XDefClasses/GedPropertyButton.generated.lua	changed	hand	NONE	yes	1
CommonLua/Libs/DevToolsPublic/Data/XDef/DevToolsShortcuts.lua	changed	hand	NONE	yes	54
CommonLua/Libs/MapGen/Data/MapGen/MapGen-Default.lua	changed	hand	NONE	yes	12
